BusinessName,RatingValue,RatingDate,Hygiene,Structural,ConfidenceInManagement,longitude,latitude
Shaydas,3.0,2019-10-16T00:00:00,10,10,10,1.172619,51.078197
The Radnor Arms,5.0,2020-01-23T00:00:00,5,0,5,1.172452,51.078885
Tesco,5.0,2012-09-13T00:00:00,0,5,0,1.172054,51.078068
The View Hotel,5.0,2022-08-03T00:00:00,0,5,0,1.169515,51.07623
Tudor Lodge,5.0,2019-08-20T00:00:00,5,0,5,1.173416,51.079192
St. Heliers,5.0,2021-03-13T00:00:00,5,5,0,1.169515,51.07623
Christchurch Nursery,5.0,2013-07-30T00:00:00,5,5,5,1.176219,51.082381
Guildhall Pharmacy,,1901-01-01T00:00:00,,,,1.177367,51.082871
Westward Ho Hotel,5.0,2012-07-02T00:00:00,5,5,5,1.168516,51.075403
Granada Guest House,4.0,2012-03-28T00:00:00,5,5,10,1.174678,51.081154
Cocomee,5.0,2021-11-03T00:00:00,0,5,0,1.171552,51.078874
The Hideaway,4.0,2021-09-24T00:00:00,5,10,5,1.172619,51.078197
Red Cow,5.0,2018-11-13T00:00:00,0,5,0,1.177729,51.085038
The Relish,5.0,2019-03-05T00:00:00,0,0,0,1.168984,51.077243
Foco Club,4.0,2013-04-17T00:00:00,0,10,10,1.177729,51.085038
Tesco,5.0,2014-07-09T00:00:00,0,0,0,1.177755,51.085001
Mace,2.0,2019-07-17T00:00:00,15,10,10,1.181507,51.088893
Brew,4.0,2021-12-10T00:00:00,,,,1.17363,51.08129
Authentic Kebab,5.0,2021-11-04T00:00:00,5,5,5,1.177729,51.085038
Kentmere B&B,5.0,2020-11-20T00:00:00,5,5,5,1.173631,51.081291
Chandos Premier,4.0,2018-09-04T00:00:00,0,0,10,1.173631,51.081291
St Claires Residential Care Home,5.0,2022-02-14T00:00:00,0,5,0,1.17373,51.0819
Golden Wok,4.0,2021-10-27T00:00:00,10,10,0,1.179997,51.088124
Spice Corner,4.0,2021-12-15T00:00:00,,,,1.178428,51.086485
Best One,4.0,2018-11-26T00:00:00,5,10,5,1.178766,51.087034
Mundella Primary School,5.0,2021-09-23T00:00:00,0,5,5,1.179998,51.088125
Folkestone Charcoal Grill,4.0,2022-04-05T00:00:00,5,5,10,1.176952,51.085365
Camelot Lodge,5.0,2021-08-17T00:00:00,0,5,0,1.171635,51.080302
Black Bull Cafe,5.0,2020-03-05T00:00:00,0,0,0,1.178766,51.087034
Tops Pizza,4.0,2021-03-12T00:00:00,,,,1.178766,51.087034
Papas Fish & Chips,5.0,2018-11-26T00:00:00,5,5,5,1.181609,51.090168
Spark,5.0,2022-02-16T00:00:00,0,5,5,1.180133,51.08885
Carmichaels Bakers,2.0,2022-03-10T00:00:00,15,15,10,1.180073,51.088806
Christchurch COE Primary Academy,5.0,2018-06-12T00:00:00,5,5,5,1.173059,51.082331
Kiddiwinx,5.0,2019-09-05T00:00:00,0,5,5,1.17306,51.082332
Central Fish Bar,5.0,2016-09-29T00:00:00,0,5,5,1.172295,51.081795
Black Bull - Hungry Horse,5.0,2017-04-18T00:00:00,5,5,5,1.18094,51.090195
Hatfield Lodge Residential Home,5.0,2020-01-16T00:00:00,0,5,5,1.168302,51.077289
Wycliffe Hotel,5.0,2020-02-13T00:00:00,0,0,0,1.167704,51.077737
Holy Trinity Church Catering,4.0,2019-03-01T00:00:00,10,0,10,1.1665238,51.0769439
Burlington Hotel,4.0,2020-08-27T00:00:00,0,10,10,1.165413,51.07555
Sunny Lodge Guest House,5.0,2016-10-10T00:00:00,5,5,5,1.171556,51.08186
Golden Wing,5.0,2019-10-17T00:00:00,0,0,0,1.177515,51.085872
St John The Baptist Church,5.0,2019-02-22T00:00:00,0,0,0,1.175336,51.085552
Folkestone Community Fridge,,1901-01-01T00:00:00,,,,1.1829433,51.0932246
Acl Care Homes Ltd,5.0,2022-06-10T00:00:00,0,0,0,1.172065,51.080533
St Johns Church Hall,5.0,2018-02-23T00:00:00,5,5,5,1.175337,51.085553
SKCC - The Cornerstone Centre,5.0,2019-01-09T00:00:00,0,0,0,1.17090594768524,51.0817527770996
Co-Operative Group,5.0,2018-03-05T00:00:00,0,0,0,1.171506,51.082374
The Central Pharmacy,,1901-01-01T00:00:00,,,,1.171506,51.082374
